url,num
http://datatables.club/manual/daily/2016/04/22/how-to-find-the-questions-basic-debug-skill-of-javascript.html,13
http://datatables.club/reference/option/createdRow.html,13
http://datatables.club/reference/button/excel.html,12
http://datatables.club/example/#basic_init,12
http://datatables.club/manual/styling/themeforest.html,12
http://datatables.club/example/advanced_init/language_file.html,11
http://datatables.club/example/vedio/season1/columns.render/,11
http://datatables.club/example/plug-ins/dom_sort.html,11
http://datatables.club/faqs/index.html,11
http://datatables.club/reference/option/processing.html,10
http://datatables.club/manual/daily/2016/04/19/option-ajax-dataSrc1.html,10
http://datatables.club/example/plug-ins/sorting_auto.html,10
http://datatables.club/reference/option/scrollX.html,10
http://datatables.club/example/#user_share,10
http://datatables.club/reference/option/stateSave.html,10
http://datatables.club/manual/daily/2016/05/06/option-rowId.html,9
http://datatables.club/example/vedio/season1/destroy&retrieve/,9
http://datatables.club/manual/daily/2016/05/12/all-options-of-callbacks.html,9
http://datatables.club/reference/option/drawCallback.html,9
http://datatables.club/reference/option/retrieve.html,9
http://datatables.club/example/#ajax,9
http://datatables.club/reference/option/scrollY.html,9
http://datatables.club/example/vedio/season1/ajax/,9
http://datatables.club/manual/daily/2016/04/27/option-columns-render3.html,8
http://datatables.club/manual/styling/jqueryui.html,8
http://datatables.club/manual/daily/2016/05/23/markdown-grammar-for-datatables-cn.html,8
http://datatables.club/manual/daily/2016/05/11/option-stripeClasses.html,8
http://datatables.club/manual/daily/2016/05/04/option-columns-width.html,8
http://datatables.club/example/#advanced_init,8
http://datatables.club/reference/button/create.html,8
http://datatables.club/manual/daily/2016/05/05/option-order.html,7
http://datatables.club/example/plug-ins/sorting_manual.html,7
http://datatables.club/example/vedio/season1/columns.data/,7
http://datatables.club/example/vedio/season1/serverSide2/,7
http://datatables.club/manual/daily/2016/05/11/option-dom.html,7
http://datatables.club/example/#data_sources,7
http://datatables.club/example/vedio/season1/autoWidth/,7
http://datatables.club/reference/#api,7
http://datatables.club/example/vedio/season1/data/,7
http://datatables.club/reference/button/collection.html,7
http://datatables.club/manual/daily/2016/05/12/all-options-of-internationalisation.html,6
http://datatables.club/manual/daily/2016/05/05/option-displayStart.html,6
http://datatables.club/example/vedio/season1/footerCallback/,6
http://datatables.club/manual/daily/2016/05/11/option-search-regex.html,6
http://datatables.club/reference/button/print.html,6
http://datatables.club/example/#api,6
http://datatables.club/example/#styling,6
http://datatables.club/example/vedio/season1/ajax.dataSrc/,6
http://datatables.club/manual/daily/2016/05/12/all-options-of-features.html,5
http://datatables.club/manual/daily/2016/05/04/option-columns-defaultContent.html,5
http://datatables.club/manual/daily/2016/05/11/option-search-search.html,5
http://datatables.club/reference/button/selectAll.html,5
http://datatables.club/manual/daily/2016/05/06/option-DT_RowData.html,5
http://datatables.club/example/vedio/season1/columnDefs/,5
http://datatables.club/example/#server_side,5
http://datatables.club/reference/option/jQueryUI.html,5
http://datatables.club/reference/#types,5
http://datatables.club/example/vedio/season1/draw/,4
http://datatables.club/manual/daily/2016/05/06/option-lengthMenu.html,4
http://datatables.club/manual/daily/2016/05/11/option-search.html,4
http://datatables.club/reference/api/page.len().html,4
http://datatables.club/manual/daily/2016/05/11/option-search-smart.html,4
http://datatables.club/example/vedio/season1/columns.visible/,4
http://datatables.club/manual/daily/2016/05/03/option-formatNumber.html,4
http://datatables.club/reference/#events,4
http://datatables.club/activity/1.html,4
http://datatables.club/manual/#option,4
http://datatables.club/manual/#api,4
http://datatables.club/example/vedio/season1/dom/,4
http://datatables.club/reference/button/edit.html,4
http://datatables.club/manual/#data,4
http://datatables.club/example/vedio/season1/url-load-reload/,3
http://datatables.club/example/vedio/season1/initComplete/,3
http://datatables.club/reference/button/columnToggle.html,3
http://datatables.club/manual/daily/2016/05/11/option-search-caseInsensitive.html,3
http://datatables.club/reference/button/excelHtml5.html,3
http://datatables.club/manual/styling/foundation.html,3
http://datatables.club/reference/button/remove.html,3
http://datatables.club/reference/button/pdf.html,3
http://datatables.club/manual/#daily,3
